Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
VEN,2006-01-01,2006-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2006,2006,7021,Annual value,SLC,909.900000,A
VEN,2007-01-01,2007-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2007,2007,7021,Annual value,SLC,1640.100000,A
VEN,2008-01-01,2008-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2008,2008,7021,Annual value,SLC,2082.500000,A
VEN,2009-01-01,2009-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2009,2009,7021,Annual value,SLC,4550.000000,A
VEN,2010-01-01,2010-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2010,2010,7021,Annual value,SLC,8550.000000,A
VEN,2011-01-01,2011-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2011,2011,7021,Annual value,SLC,7470.000000,A
VEN,2012-01-01,2012-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2012,2012,7021,Annual value,SLC,8120.000000,A
VEN,2013-01-01,2013-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2013,2013,7021,Annual value,SLC,13200.000000,A
VEN,2014-01-01,2014-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5531,Producer Price (SLC/tonne),2014,2014,7021,Annual value,SLC,25660.000000,A
VEN,1991-01-01,1991-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),1991,1991,7021,Annual value,USD,220.300000,A
VEN,1992-01-01,1992-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),1992,1992,7021,Annual value,USD,262.600000,A
VEN,1993-01-01,1993-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),1993,1993,7021,Annual value,USD,197.800000,A
VEN,1994-01-01,1994-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),1994,1994,7021,Annual value,USD,195.900000,A
VEN,1995-01-01,1995-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),1995,1995,7021,Annual value,USD,243.700000,A
VEN,1996-01-01,1996-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),1996,1996,7021,Annual value,USD,209.700000,A
VEN,1997-01-01,1997-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),1997,1997,7021,Annual value,USD,339.300000,A
VEN,1998-01-01,1998-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),1998,1998,7021,Annual value,USD,481.000000,A
VEN,1999-01-01,1999-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),1999,1999,7021,Annual value,USD,418.500000,A
VEN,2000-01-01,2000-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2000,2000,7021,Annual value,USD,403.300000,A
VEN,2001-01-01,2001-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2001,2001,7021,Annual value,USD,466.100000,A
VEN,2002-01-01,2002-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2002,2002,7021,Annual value,USD,285.300000,A
VEN,2003-01-01,2003-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2003,2003,7021,Annual value,USD,327.200000,A
VEN,2004-01-01,2004-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2004,2004,7021,Annual value,USD,522.400000,A
VEN,2005-01-01,2005-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2005,2005,7021,Annual value,USD,307.000000,A
VEN,2006-01-01,2006-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2006,2006,7021,Annual value,USD,423.800000,A
VEN,2007-01-01,2007-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2007,2007,7021,Annual value,USD,763.900000,A
VEN,2008-01-01,2008-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2008,2008,7021,Annual value,USD,970.000000,A
VEN,2009-01-01,2009-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2009,2009,7021,Annual value,USD,2119.200000,A
VEN,2010-01-01,2010-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2010,2010,7021,Annual value,USD,3311.300000,A
VEN,2011-01-01,2011-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2011,2011,7021,Annual value,USD,1741.500000,A
VEN,2012-01-01,2012-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,1893.100000,A
VEN,2013-01-01,2013-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,2182.500000,A
VEN,2014-01-01,2014-12-31,236,'862,Venezuela (Bolivarian Republic of),572,'01311,Avocados,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,3076.900000,A
VEN,1991-01-01,1991-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,6230.000000,A
VEN,1992-01-01,1992-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,5690.000000,A
VEN,1993-01-01,1993-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,8040.000000,A
VEN,1994-01-01,1994-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,13960.000000,A
VEN,1995-01-01,1995-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,21680.000000,A
VEN,1996-01-01,1996-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),1996,1996,7021,Annual value,LCU,39540.000000,A
VEN,1997-01-01,1997-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),1997,1997,7021,Annual value,LCU,61750.000000,A
VEN,1998-01-01,1998-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),1998,1998,7021,Annual value,LCU,75770.000000,A
VEN,1999-01-01,1999-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),1999,1999,7021,Annual value,LCU,92990.000000,A
VEN,2000-01-01,2000-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2000,2000,7021,Annual value,LCU,100790.000000,A
VEN,2001-01-01,2001-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2001,2001,7021,Annual value,LCU,127840.000000,A
VEN,2002-01-01,2002-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2002,2002,7021,Annual value,LCU,131790.000000,A
VEN,2003-01-01,2003-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2003,2003,7021,Annual value,LCU,191300.000000,A
VEN,2004-01-01,2004-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2004,2004,7021,Annual value,LCU,260170.000000,A
VEN,2005-01-01,2005-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2005,2005,7021,Annual value,LCU,305440.000000,A
VEN,2006-01-01,2006-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2006,2006,7021,Annual value,LCU,463450.000000,A
VEN,2007-01-01,2007-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2007,2007,7021,Annual value,LCU,579115.900000,A
VEN,2008-01-01,2008-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2008,2008,7021,Annual value,LCU,1016.200000,A
VEN,2009-01-01,2009-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2009,2009,7021,Annual value,LCU,1420.000000,A
VEN,2010-01-01,2010-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2010,2010,7021,Annual value,LCU,2230.000000,A
VEN,2011-01-01,2011-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,2590.000000,A
VEN,2012-01-01,2012-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,2850.000000,A
VEN,2013-01-01,2013-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2013,2013,7021,Annual value,LCU,4520.000000,A
VEN,2014-01-01,2014-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,10180.000000,A
VEN,1991-01-01,1991-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),1991,1991,7021,Annual value,SLC,6.200000,A
VEN,1992-01-01,1992-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),1992,1992,7021,Annual value,SLC,5.700000,A
VEN,1993-01-01,1993-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),1993,1993,7021,Annual value,SLC,8.000000,A
VEN,1994-01-01,1994-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),1994,1994,7021,Annual value,SLC,14.000000,A
VEN,1995-01-01,1995-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),1995,1995,7021,Annual value,SLC,21.700000,A
VEN,1996-01-01,1996-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),1996,1996,7021,Annual value,SLC,39.500000,A
VEN,1997-01-01,1997-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),1997,1997,7021,Annual value,SLC,61.800000,A
VEN,1998-01-01,1998-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),1998,1998,7021,Annual value,SLC,75.800000,A
VEN,1999-01-01,1999-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),1999,1999,7021,Annual value,SLC,93.000000,A
VEN,2000-01-01,2000-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2000,2000,7021,Annual value,SLC,100.800000,A
VEN,2001-01-01,2001-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2001,2001,7021,Annual value,SLC,127.800000,A
VEN,2002-01-01,2002-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2002,2002,7021,Annual value,SLC,131.800000,A
VEN,2003-01-01,2003-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2003,2003,7021,Annual value,SLC,191.300000,A
VEN,2004-01-01,2004-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2004,2004,7021,Annual value,SLC,260.200000,A
VEN,2005-01-01,2005-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2005,2005,7021,Annual value,SLC,305.400000,A
VEN,2006-01-01,2006-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2006,2006,7021,Annual value,SLC,463.400000,A
VEN,2007-01-01,2007-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2007,2007,7021,Annual value,SLC,579.100000,A
VEN,2008-01-01,2008-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2008,2008,7021,Annual value,SLC,1016.200000,A
VEN,2009-01-01,2009-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2009,2009,7021,Annual value,SLC,1420.000000,A
VEN,2010-01-01,2010-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2010,2010,7021,Annual value,SLC,2230.000000,A
VEN,2011-01-01,2011-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2011,2011,7021,Annual value,SLC,2590.000000,A
VEN,2012-01-01,2012-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2012,2012,7021,Annual value,SLC,2850.000000,A
VEN,2013-01-01,2013-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2013,2013,7021,Annual value,SLC,4520.000000,A
VEN,2014-01-01,2014-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5531,Producer Price (SLC/tonne),2014,2014,7021,Annual value,SLC,10180.000000,A
VEN,1991-01-01,1991-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),1991,1991,7021,Annual value,USD,109.700000,A
VEN,1992-01-01,1992-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),1992,1992,7021,Annual value,USD,83.200000,A
VEN,1993-01-01,1993-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),1993,1993,7021,Annual value,USD,88.500000,A
VEN,1994-01-01,1994-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),1994,1994,7021,Annual value,USD,95.000000,A
VEN,1995-01-01,1995-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),1995,1995,7021,Annual value,USD,122.600000,A
VEN,1996-01-01,1996-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),1996,1996,7021,Annual value,USD,94.700000,A
VEN,1997-01-01,1997-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),1997,1997,7021,Annual value,USD,126.400000,A
VEN,1998-01-01,1998-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),1998,1998,7021,Annual value,USD,138.400000,A
VEN,1999-01-01,1999-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),1999,1999,7021,Annual value,USD,153.500000,A
VEN,2000-01-01,2000-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2000,2000,7021,Annual value,USD,148.200000,A
VEN,2001-01-01,2001-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2001,2001,7021,Annual value,USD,176.600000,A
VEN,2002-01-01,2002-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2002,2002,7021,Annual value,USD,113.500000,A
VEN,2003-01-01,2003-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2003,2003,7021,Annual value,USD,119.000000,A
VEN,2004-01-01,2004-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2004,2004,7021,Annual value,USD,137.600000,A
VEN,2005-01-01,2005-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2005,2005,7021,Annual value,USD,146.200000,A
VEN,2006-01-01,2006-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2006,2006,7021,Annual value,USD,215.900000,A
VEN,2007-01-01,2007-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2007,2007,7021,Annual value,USD,269.700000,A
VEN,2008-01-01,2008-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2008,2008,7021,Annual value,USD,473.300000,A
VEN,2009-01-01,2009-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2009,2009,7021,Annual value,USD,661.400000,A
VEN,2010-01-01,2010-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2010,2010,7021,Annual value,USD,863.600000,A
VEN,2011-01-01,2011-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2011,2011,7021,Annual value,USD,603.800000,A
VEN,2012-01-01,2012-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2012,2012,7021,Annual value,USD,664.400000,A
VEN,2013-01-01,2013-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2013,2013,7021,Annual value,USD,747.400000,A
VEN,2014-01-01,2014-12-31,236,'862,Venezuela (Bolivarian Republic of),486,'01312,Bananas,5532,Producer Price (USD/tonne),2014,2014,7021,Annual value,USD,1220.700000,A
VEN,1991-01-01,1991-12-31,236,'862,Venezuela (Bolivarian Republic of),176,'01701,"Beans, dry",5530,Producer Price (LCU/tonne),1991,1991,7021,Annual value,LCU,26674.000000,A
VEN,1992-01-01,1992-12-31,236,'862,Venezuela (Bolivarian Republic of),176,'01701,"Beans, dry",5530,Producer Price (LCU/tonne),1992,1992,7021,Annual value,LCU,26810.000000,A
VEN,1993-01-01,1993-12-31,236,'862,Venezuela (Bolivarian Republic of),176,'01701,"Beans, dry",5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,31500.000000,A
VEN,1994-01-01,1994-12-31,236,'862,Venezuela (Bolivarian Republic of),176,'01701,"Beans, dry",5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,41810.000000,A
